,Time_period(pri_age),ISO3,Country,Region,Region_full_name,Total_%(pri_age),Female_sex_%(pri_age),Male_sex_%(pri_age),Total_Population_data(pri_age),Female_population(pri_age),Male_population(pri_age),Rural_population(pri_age),Rural_population_rounded(pri_age),Rural_population_%(pri_age),Urban_population(pri_age),Urban_population_rounded(pri_age),Urban_population_%(pri_age)
94,2023,KIR,Kiribati,EAP,East Asia and Pacific,12.2459697723389,12.3048801422119,12.1898698806763,17053,8156,8897,7834.667851774284,7835.0,45.94304727481548,9218.332148225716,9218.0,54.056952725184516
95,2010,KNA,Saint Kitts and Nevis,LAC,Latin America and Caribbean,1.14596998691559,,,,,,,,,,,
96,2022,KOR,Republic of Korea,EAP,East Asia and Pacific,1.07517004013062,1.18411004543304,0.971629977226257,321052,147171,173881,0.0,0.0,0.0,321052.0,321052.0,100.0
97,2015,KWT,Kuwait,MENA,Middle East and North Africa,2.95161008834839,,,581801,284059,297742,370311.7622962394,370312.0,63.64921378551075,211489.23770376062,211489.0,36.350786214489254
98,2024,LAO,Lao People's Democratic Republic,EAP,East Asia and Pacific,8.58675444289589,8.76163048294196,8.41858860884694,768062,377056,391006,499208.5788157518,499209.0,64.99586997088149,268853.4211842482,268853.0,35.00413002911851
99,2023,LBN,Lebanon,MENA,Middle East and North Africa,24.1605796813965,24.2525901794434,24.0727195739746,120252,58462,61790,38310.09101639535,38310.0,31.858173682263374,81941.90898360465,81942.0,68.14182631773663
100,2022,LBR,Liberia,WCA,West and Central Africa,37.6625506827719,36.7011594742952,38.6011800648336,346481,170361,176120,39523.737494766945,39524.0,11.407187549899401,306957.26250523305,306957.0,88.5928124501006
101,,LBY,Libya,MENA,Middle East and North Africa,,,,308224,154282,153942,221450.27004564716,221450.0,71.84718582772503,86773.72995435282,86774.0,28.152814172274976
102,2023,LCA,Saint Lucia,LAC,Latin America and Caribbean,6.61925983428955,,,794643,389455,405188,388171.8795162105,388172.0,48.84858729218159,406471.1204837895,406471.0,51.15141270781841
103,2021,LIE,Liechtenstein,WE,Western Europe,0.824760019779205,,,785627,382411,403216,156324.3245373636,156324.0,19.89803361358044,629302.6754626364,629303.0,80.10196638641956
104,2022,LKA,Sri Lanka,SA,South Asia,0.979661969168636,,,1922,846,1076,1646.4570829511204,1646.0,85.66374000786267,275.5429170488796,276.0,14.336259992137334
105,2023,LSO,Lesotho,ESA,Eastern and Southern Africa,26.6825379249253,26.6371466162504,26.7280671597929,115425,56192,59233,37306.8158162334,37307.0,32.321261265959194,78118.1841837666,78118.0,67.6787387340408
106,2022,LTU,Lithuania,WE,Western Europe,0.0236399993300438,,,38549,18879,19670,3476.60037674418,3477.0,9.01865256360523,35072.39962325582,35072.0,90.98134743639477
107,2022,LUX,Luxembourg,WE,Western Europe,0.345420002937317,0.172409996390343,0.509630024433136,3582613,1774174,1808439,2250219.314187058,2250219.0,62.80944422931134,1332393.6858129422,1332394.0,37.19055577068866
108,2022,LVA,Latvia,WE,Western Europe,1.4437700510025,1.07042002677918,1.79543995857239,3265900,1619150,1646750,2712754.002587462,2712754.0,83.06298424898073,553145.9974125382,553146.0,16.937015751019263
109,2023,MAR,Morocco,MENA,Middle East and North Africa,0.714739978313446,,,2997712,1454269,1543443,718378.5672851936,718379.0,23.96422896146106,2279333.4327148064,2279333.0,76.03577103853894
110,,MCO,Monaco,WE,Western Europe,,,,52058,24760,27298,31334.707150558574,31335.0,60.19191507656571,20723.292849441426,20723.0,39.80808492343429
111,2024,MDA,Republic of Moldova,EECA,Eastern Europe and Central Asia,26.4572904892621,,,3556557,1748291,1808266,2050130.5404741939,2050131.0,57.643685746473174,1506426.4595258061,1506426.0,42.356314253526826
112,2020,MDG,Madagascar,ESA,Eastern and Southern Africa,3.27082592545166,0.777484096158059,5.70740877578076,25578,12306,13272,1378.0860887456074,1378.0,5.387778906660441,24199.913911254393,24200.0,94.61222109333956
113,2023,MDV,Maldives,SA,South Asia,9.52615147756917,8.23864902196676,10.7141388808946,8856,4335,4521,2034.1465946921953,2034.0,22.96913498974927,6821.853405307805,6822.0,77.03086501025072
114,2022,MEX,Mexico,LAC,Latin America and Caribbean,0.341919988393784,,,712210,350756,361454,329952.8522568384,329953.0,46.328028566973,382257.1477431616,382257.0,53.671971433027
115,2022,MHL,Marshall Islands,EAP,East Asia and Pacific,2.44869995117188,0.545650005340576,4.16392993927002,83856,41128,42728,49648.406246082406,49648.0,59.2067428044295,34207.593753917594,34208.0,40.79325719557049
116,2022,MKD,North Macedonia,EECA,Eastern Europe and Central Asia,2.96356010437012,2.65597009658814,3.25169992446899,13400000,6563565,6867841,2659069.904395314,2659070.0,19.843805256681446,10740930.095604686,10740930.0,80.15619474331855
117,2023,MLI,Mali,WCA,West and Central Africa,32.5269012451172,35.8061408996582,29.3203506469727,14163,6897,7266,14163.0,14163.0,100.0,0.0,0.0,0.0
118,2022,MLT,Malta,WE,Western Europe,6.87698984146118,6.79471015930176,6.95265007019043,1267,601,666,0.0,0.0,0.0,1267.0,1267.0,100.0
119,2010,MMR,Myanmar,EAP,East Asia and Pacific,1.56431996822357,0.140599995851517,2.91776990890503,348598,172230,176368,109998.62996913292,109999.0,31.55457861752876,238599.37003086708,238599.0,68.44542138247124
120,2023,MNE,Montenegro,EECA,Eastern Europe and Central Asia,0.21832999587059,,,37501,17965,19536,12445.283464103915,12445.0,33.18653759660786,25055.716535896085,25056.0,66.81346240339214
121,2023,MNG,Mongolia,EAP,East Asia and Pacific,5.06079477310477,4.32590329423058,5.75611232915509,412,200,212,374.62463963098213,375.0,90.9283105900442,37.37536036901786,37.0,9.071689409955793
122,2022,MOZ,Mozambique,ESA,Eastern and Southern Africa,1.03396999835968,,,4015839,1955264,2060575,1507840.9367263666,1507841.0,37.547345317538046,2507998.0632736334,2507998.0,62.45265468246195
123,2019,MRT,Mauritania,WCA,West and Central Africa,30.5592803955078,28.9264106750488,32.1493797302246,6234768,3109782,3124986,3991007.6241670903,3991008.0,64.01212722216914,2243760.3758329097,2243760.0,35.987872777830866
124,2017,MSR,Montserrat,LAC,Latin America and Caribbean,0.451180011034012,,,4512706,2241061,2271645,3132781.067309619,3132781.0,69.42134203534684,1379924.932690381,1379925.0,30.57865796465316
125,2023,MUS,Mauritius,ESA,Eastern and Southern Africa,1.74340999126434,1.34008002281189,2.13104009628296,426063,213307,212756,212893.11766244777,212893.0,49.96752068648246,213169.88233755223,213170.0,50.03247931351754
126,2022,MWI,Malawi,ESA,Eastern and Southern Africa,2.24473583568187,,,1553,770,783,0.0,0.0,0.0,1553.0,1553.0,100.0
127,2023,MYS,Malaysia,EAP,East Asia and Pacific,1.85316416529779,0.822558199592221,2.81969487682959,2756209,1370347,1385862,2212143.904234383,2212144.0,80.26038316522379,544065.0957656173,544065.0,19.73961683477622
128,2015,NAM,Namibia,ESA,Eastern and Southern Africa,0.384891563800231,,,1085196,527914,557282,92349.19753162807,92349.0,8.509909503133818,992846.8024683719,992847.0,91.49009049686619
129,2023,NER,Niger,WCA,West and Central Africa,37.888988494873,39.7336311340332,36.1045684814453,376483,183526,192957,50683.49828006502,50683.0,13.46236039344805,325799.501719935,325800.0,86.53763960655195
130,2010,NGA,Nigeria,WCA,West and Central Africa,35.6459617614746,41.7222290039062,29.7455596923828,787033,382722,404311,326443.1047176525,326443.0,41.477689590862454,460589.8952823475,460590.0,58.522310409137546
131,2023,NIC,Nicaragua,LAC,Latin America and Caribbean,9.74831008911133,9.58625984191894,9.90565013885498,4330614,2129918,2200696,3619301.206373968,3619301.0,83.57478192177756,711312.7936260316,711313.0,16.425218078222432
132,2023,NIU,Niue,EAP,East Asia and Pacific,12.8571395874023,9.2592601776123,16.666669845581,34400000,16800000,17600000,17081774.345983304,17081774.0,49.65632077320728,17318225.654016696,17318226.0,50.34367922679272
